price,year,mileage,brand,fuel,transmission,engine_size,owners
100000,1997,69815,Mercedes,Diesel,Automatic,1.6,1
100000,2006,60831,Mercedes,Diesel,Automatic,1.6,3
100000,2002,136455,Toyota,Diesel,Automatic,1.6,1
295947,2016,79183,Audi,Petrol,Automatic,1.6,1
891354,2021,64769,BMW,Petrol,Automatic,2.2,2
100000,1997,77920,Toyota,Petrol,Automatic,2.5,1
100000,1995,63594,Hyundai,Diesel,Automatic,2.0,2
100000,1997,142053,Hyundai,Petrol,Automatic,2.2,2
100000,1999,91538,BMW,Petrol,Automatic,2.0,4
112356,2009,107157,Volkswagen,Petrol,Automatic,1.4,1
100000,2008,177991,Ford,Petrol,Manual,3.0,2
100000,1997,113507,Hyundai,Diesel,Manual,1.6,3
100000,1995,92075,Volkswagen,Petrol,Manual,1.8,1
100000,1999,63779,Mercedes,Diesel,Automatic,3.0,1
471385,2020,182435,Mercedes,Petrol,Manual,3.0,1
496534,2017,46722,Kia,Petrol,Automatic,2.2,1
100000,2008,55670,Audi,Petrol,Automatic,2.5,1
100000,2001,67947,Audi,Diesel,Automatic,1.8,2
764970,2021,128402,Honda,Petrol,Automatic,1.4,2
100000,2003,78424,Mercedes,Hybrid,Automatic,1.8,1
100000,2009,105519,BMW,Diesel,Automatic,1.4,1
100000,2009,125034,Nissan,Diesel,Automatic,2.2,2
559698,2020,186016,Ford,Petrol,Manual,1.4,4
100000,2004,71608,Kia,Hybrid,Manual,2.2,1
1163920,2022,20568,Volkswagen,Petrol,Automatic,2.5,2
100000,2007,148373,BMW,Petrol,Manual,2.2,1
204656,2013,106064,Kia,Petrol,Automatic,1.8,2
100000,2001,204496,Kia,Petrol,Manual,2.0,1
106203,2011,106904,Volkswagen,Petrol,Automatic,2.5,1
320960,2014,54841,Mercedes,Hybrid,Manual,3.0,3
837831,2023,109408,Kia,Diesel,Manual,2.0,3
100000,1998,23769,Volkswagen,Petrol,Automatic,2.0,2
100000,1999,156925,Kia,Petrol,Automatic,1.6,4
305867,2017,57147,Ford,Diesel,Manual,3.0,2
100000,2001,159243,Kia,Petrol,Manual,1.8,3
100000,2007,100757,Toyota,Petrol,Automatic,1.4,1
110014,2009,114008,Mercedes,Petrol,Manual,2.0,1
100000,2005,62894,Honda,Petrol,Automatic,1.8,2
526104,2023,286674,Toyota,Petrol,Manual,1.6,4
100000,1998,42150,Ford,Electric,Manual,1.8,5
103267,2007,19672,Volkswagen,Hybrid,Automatic,1.4,2
100000,2001,66975,Ford,Petrol,Automatic,2.0,2
852279,2021,108145,Nissan,Petrol,Automatic,1.4,1
211456,2013,80773,Nissan,Diesel,Manual,1.6,2
153960,2016,208174,Kia,Diesel,Automatic,3.0,3
946861,2022,27692,Ford,Petrol,Automatic,1.4,1
100000,1996,199340,Audi,Petrol,Automatic,2.5,3
100000,2004,13467,Honda,Petrol,Manual,1.6,2
100000,2007,144032,Hyundai,Electric,Automatic,1.4,2
337633,2019,190633,Nissan,Diesel,Manual,1.6,1
227081,2015,42412,Mercedes,Petrol,Automatic,1.8,1
100000,2000,202131,Honda,Hybrid,Manual,1.8,5
1037192,2022,55428,Volkswagen,Hybrid,Automatic,1.8,4
682101,2022,180252,Ford,Petrol,Automatic,2.5,3
100000,2006,85125,Mercedes,Diesel,Automatic,2.5,2
100000,2006,88601,Kia,Diesel,Automatic,1.8,1
250458,2014,29341,Toyota,Diesel,Manual,3.0,1
100000,2005,97720,Honda,Diesel,Manual,1.4,1
795264,2020,55528,Mercedes,Petrol,Manual,3.0,2
262146,2017,87489,BMW,Hybrid,Automatic,2.5,3
952493,2022,6951,Toyota,Petrol,Automatic,2.2,3
499172,2019,80389,Volkswagen,Petrol,Manual,1.6,3
100000,2001,107019,Kia,Petrol,Manual,1.6,1
100000,1995,43371,Toyota,Petrol,Automatic,3.0,4
100000,1995,89435,Hyundai,Petrol,Manual,2.2,3
495333,2019,75715,Kia,Petrol,Manual,1.6,1
739768,2021,60147,Honda,Diesel,Manual,1.6,1
694622,2019,18127,Toyota,Diesel,Automatic,1.8,1
187464,2014,44127,Audi,Diesel,Manual,1.6,3
100000,2007,144220,Volkswagen,Diesel,Automatic,1.6,4
100000,2003,128674,Honda,Petrol,Manual,2.0,1
100000,1997,91407,Mercedes,Petrol,Manual,3.0,1
100000,2001,55633,Mercedes,Petrol,Automatic,3.0,1
100000,2000,88815,Volkswagen,Petrol,Manual,3.0,2
100000,2002,139892,Toyota,Hybrid,Automatic,1.6,2
436799,2021,146717,Nissan,Diesel,Automatic,2.2,4
100000,2003,60563,Hyundai,Petrol,Automatic,1.6,5
100000,1999,92355,Mercedes,Petrol,Automatic,2.2,4
100000,1995,80343,Ford,Petrol,Manual,2.5,1
248745,2013,65017,Kia,Petrol,Automatic,1.6,1
100000,2004,181306,Ford,Petrol,Automatic,2.2,1
100000,2006,101964,Volkswagen,Diesel,Automatic,1.6,1
434997,2018,160696,Nissan,Hybrid,Automatic,2.5,4
100000,2009,274428,Volkswagen,Hybrid,Automatic,1.6,4
779910,2021,78413,Nissan,Petrol,Manual,2.0,1
236750,2016,82173,Hyundai,Petrol,Manual,2.5,5
438262,2018,60331,Nissan,Hybrid,Manual,2.0,2
100000,2003,219209,Hyundai,Diesel,Manual,1.6,2
153215,2014,238118,BMW,Petrol,Automatic,2.0,2
127181,2011,123303,Toyota,Diesel,Automatic,1.4,2
146439,2011,63496,BMW,Petrol,Automatic,2.5,1
764945,2020,88967,Audi,Petrol,Automatic,1.4,1
233639,2014,8261,Nissan,Hybrid,Automatic,2.5,2
100000,2006,108817,Audi,Petrol,Automatic,1.8,2
100000,2001,171880,Audi,Diesel,Automatic,2.5,3
100000,1996,30820,Volkswagen,Petrol,Automatic,1.8,2
100000,1997,63319,Toyota,Petrol,Manual,1.4,3
131032,2011,105137,Nissan,Petrol,Manual,2.5,5
100000,1999,37849,Toyota,Petrol,Automatic,3.0,3
206511,2011,33284,Volkswagen,Petrol,Automatic,3.0,1
331324,2018,131734,BMW,Petrol,Automatic,1.8,2
100000,2011,209682,Audi,Petrol,Automatic,1.6,4
442983,2021,186156,Audi,Electric,Automatic,1.6,2
123713,2011,47861,Kia,Diesel,Manual,1.8,3
100000,1996,162221,Honda,Petrol,Automatic,1.4,3
100000,1996,98477,BMW,Diesel,Automatic,3.0,1
1177733,2022,17500,BMW,Petrol,Automatic,2.2,1
457328,2016,19994,Volkswagen,Diesel,Automatic,2.5,3
365271,2017,24899,Toyota,Petrol,Automatic,1.6,1
100000,1999,209488,Mercedes,Petrol,Manual,2.5,2
100000,1995,125137,BMW,Diesel,Automatic,2.0,1
100000,1995,135864,Honda,Petrol,Automatic,2.2,1
248562,2013,84622,Mercedes,Petrol,Manual,2.0,1
100000,1996,152586,Kia,Petrol,Automatic,1.6,2
331370,2015,89417,Hyundai,Petrol,Automatic,1.8,4
100000,2006,87583,Kia,Diesel,Manual,3.0,1
453520,2020,115201,Volkswagen,Hybrid,Automatic,2.0,3
100000,2000,32330,Nissan,Diesel,Automatic,3.0,2
386452,2017,117922,Volkswagen,Diesel,Manual,2.5,3
100000,1998,29403,Honda,Diesel,Automatic,3.0,3
444985,2017,80617,Ford,Petrol,Manual,1.4,1
100000,2005,82796,Nissan,Petrol,Manual,2.0,1
467365,2018,61996,Hyundai,Petrol,Manual,1.4,5
1046457,2021,22109,Honda,Petrol,Manual,2.2,3
118362,2011,74483,Volkswagen,Diesel,Manual,2.2,1
100000,2000,165946,Audi,Petrol,Automatic,1.8,2
303319,2018,106350,Nissan,Petrol,Manual,1.4,3
100000,1999,89905,BMW,Petrol,Automatic,3.0,1
100000,2014,300000,BMW,Petrol,Automatic,2.5,1
100000,1996,101444,Ford,Diesel,Manual,1.8,1
100000,2000,21349,Audi,Hybrid,Manual,2.0,1
367458,2016,93188,Ford,Petrol,Manual,3.0,1
100000,2005,199762,Kia,Diesel,Manual,1.8,2
100000,2010,152459,BMW,Petrol,Automatic,3.0,1
100000,2010,71232,BMW,Petrol,Manual,2.5,1
100000,1995,92109,Honda,Petrol,Manual,3.0,2
100000,2003,98127,Honda,Petrol,Manual,2.0,2
551865,2022,258680,Volkswagen,Petrol,Automatic,2.2,1
539448,2021,260743,Mercedes,Petrol,Automatic,1.8,1
100000,2000,82926,Ford,Petrol,Manual,2.5,1
129582,2010,104599,Audi,Petrol,Automatic,2.2,2
1062772,2023,61845,Audi,Diesel,Automatic,2.0,2
100000,1997,98287,Toyota,Diesel,Manual,1.4,1
187927,2014,165553,Ford,Diesel,Automatic,1.6,2
902323,2022,50229,Mercedes,Petrol,Manual,3.0,3
993680,2021,6371,Volkswagen,Diesel,Manual,2.0,3
100000,1998,110284,BMW,Petrol,Automatic,2.0,2
107369,2013,236466,Hyundai,Petrol,Automatic,3.0,5
439826,2020,102751,Ford,Diesel,Automatic,3.0,3
100000,1997,82595,Audi,Diesel,Automatic,1.6,1
160466,2013,86515,Audi,Hybrid,Manual,1.6,2
117027,2014,294142,Kia,Electric,Automatic,2.2,1
100000,2001,175609,BMW,Diesel,Manual,2.0,2
240968,2014,82293,Volkswagen,Electric,Automatic,2.0,1
100000,2003,70343,Nissan,Diesel,Manual,3.0,1
100000,1995,7131,Toyota,Petrol,Manual,1.8,4
100000,2002,88055,Toyota,Petrol,Manual,1.6,2
100000,2001,74825,Honda,Diesel,Automatic,2.5,4
133516,2012,186596,BMW,Petrol,Manual,1.4,1
100000,2002,97302,Audi,Petrol,Automatic,2.0,1
100000,1995,115915,BMW,Petrol,Manual,1.8,1
100000,2005,72873,Audi,Petrol,Manual,1.4,2
720486,2022,101220,Honda,Petrol,Manual,2.2,4
477131,2019,73848,Kia,Diesel,Manual,2.5,2
685821,2019,26818,Ford,Diesel,Automatic,1.8,1
184474,2012,65589,Volkswagen,Petrol,Automatic,1.4,2
290955,2017,101808,Toyota,Petrol,Automatic,2.0,3
100000,2004,78978,Hyundai,Petrol,Automatic,1.8,1
100000,1997,98782,BMW,Hybrid,Manual,1.6,2
100000,2001,124539,Mercedes,Petrol,Manual,1.4,3
494181,2022,300000,Volkswagen,Petrol,Automatic,3.0,5
140568,2010,52748,Ford,Petrol,Manual,3.0,1
502279,2020,107887,Kia,Petrol,Automatic,2.0,3
132110,2010,106222,Kia,Petrol,Automatic,1.8,3
346973,2019,128308,Hyundai,Petrol,Automatic,2.5,2
249775,2014,69344,Toyota,Petrol,Automatic,1.4,3
652080,2022,120607,Honda,Petrol,Automatic,2.2,2
132785,2011,126296,Honda,Hybrid,Automatic,3.0,2
100000,1996,106692,Ford,Petrol,Automatic,2.2,3
100000,1995,101412,Honda,Petrol,Automatic,1.6,2
114588,2010,39368,Toyota,Petrol,Automatic,1.8,2
100000,2006,75765,Mercedes,Petrol,Manual,1.8,2
100000,1999,30857,Audi,Petrol,Manual,1.6,3
100000,1999,88264,Volkswagen,Diesel,Manual,1.8,1
506951,2021,175427,Nissan,Diesel,Automatic,2.2,3
437380,2017,69639,Volkswagen,Diesel,Manual,2.2,1
100000,2003,18447,Honda,Hybrid,Manual,1.6,1
100000,2003,109173,Volkswagen,Hybrid,Automatic,2.0,3
100000,1997,73602,Honda,Petrol,Automatic,1.6,1
189590,2013,105815,Honda,Hybrid,Automatic,2.2,1
101255,2010,61275,Audi,Petrol,Manual,3.0,3
100000,2010,215132,Audi,Petrol,Manual,1.6,2
100000,1997,175534,Hyundai,Diesel,Manual,2.2,4
137294,2014,140844,Mercedes,Petrol,Manual,2.0,5
380950,2018,60807,Mercedes,Petrol,Automatic,2.2,1
356157,2016,122395,Nissan,Petrol,Manual,2.5,1
517051,2018,61196,Toyota,Diesel,Manual,1.8,1
100000,1995,88782,BMW,Petrol,Manual,1.4,2
381208,2018,25394,Toyota,Petrol,Automatic,3.0,1
227023,2014,104440,Nissan,Petrol,Automatic,2.0,1
100000,2005,72969,Mercedes,Petrol,Automatic,1.4,1
202205,2011,45001,Hyundai,Petrol,Manual,2.0,1
100000,2002,89226,Toyota,Petrol,Automatic,2.0,3
100000,1998,105075,Ford,Electric,Manual,2.0,4
100000,2000,157582,Toyota,Petrol,Automatic,2.5,1
100000,2002,108996,Audi,Diesel,Automatic,2.0,2
211205,2014,144029,Nissan,Petrol,Manual,2.2,1
100000,1997,90101,Toyota,Petrol,Automatic,1.8,1
103468,2010,148175,Nissan,Diesel,Manual,2.2,2
376378,2019,88239,Ford,Hybrid,Automatic,2.2,1
100000,1997,89744,Mercedes,Petrol,Automatic,2.5,1
447331,2019,48913,Mercedes,Diesel,Automatic,3.0,5
1075771,2023,97053,Honda,Petrol,Automatic,1.8,1
142393,2012,169098,Ford,Petrol,Manual,3.0,2
100000,2008,124654,Kia,Diesel,Manual,2.5,3
191074,2012,61592,Toyota,Petrol,Automatic,2.0,3
100000,1996,112122,Toyota,Diesel,Manual,1.8,3
287972,2016,66837,Honda,Petrol,Manual,1.4,1
100000,1997,123063,Hyundai,Diesel,Automatic,1.8,5
168241,2010,45291,Audi,Diesel,Automatic,2.2,3
1180870,2023,73054,BMW,Diesel,Automatic,2.0,5
100000,2003,57081,Volkswagen,Petrol,Automatic,2.2,5
100000,1998,97299,Audi,Petrol,Automatic,1.4,1
100000,1995,300000,Kia,Diesel,Automatic,2.5,2
100000,1998,48041,Audi,Hybrid,Automatic,2.5,3
100000,1995,46944,Honda,Petrol,Automatic,2.0,3
103357,2008,63776,Ford,Petrol,Automatic,1.6,5
166572,2015,223071,Kia,Diesel,Manual,2.5,5
100000,2010,128372,Volkswagen,Petrol,Automatic,2.2,1
241165,2014,116436,Audi,Petrol,Automatic,2.2,2
332105,2018,103288,Mercedes,Diesel,Automatic,1.8,1
100000,2002,100093,Ford,Petrol,Manual,2.0,3
100000,2001,116982,BMW,Diesel,Manual,2.5,1
100000,1997,34985,Toyota,Petrol,Automatic,3.0,4
128991,2011,60385,Mercedes,Petrol,Manual,2.5,5
100000,1995,60799,Volkswagen,Diesel,Automatic,2.5,1
100000,2010,152401,Honda,Petrol,Automatic,3.0,2
100000,2006,114795,Hyundai,Petrol,Manual,2.5,1
540790,2021,222020,Nissan,Diesel,Automatic,3.0,2
157351,2013,133454,Audi,Petrol,Automatic,2.2,1
266988,2016,58368,Nissan,Petrol,Manual,1.4,1
293973,2017,126051,Ford,Petrol,Automatic,2.0,1
306565,2016,28198,Honda,Petrol,Automatic,2.0,1
100000,2008,90440,Hyundai,Petrol,Manual,3.0,2
100000,2000,91730,BMW,Diesel,Automatic,1.8,2
100000,2000,141814,Volkswagen,Petrol,Automatic,2.2,2
100000,2007,87451,Volkswagen,Diesel,Manual,2.2,1
154746,2013,102471,Nissan,Diesel,Manual,1.6,1
340483,2016,77841,Kia,Diesel,Automatic,1.6,1
100000,2002,102789,Nissan,Diesel,Manual,2.0,3
809385,2021,83538,Hyundai,Petrol,Manual,2.2,1
535661,2021,204850,Hyundai,Hybrid,Manual,2.5,5
100000,1996,133551,Volkswagen,Petrol,Automatic,3.0,3
207938,2015,71229,Nissan,Petrol,Automatic,1.8,1
100000,1995,124039,Mercedes,Petrol,Manual,2.2,1
662629,2022,86542,Kia,Diesel,Manual,1.8,2
100000,2009,210229,Volkswagen,Diesel,Manual,1.6,4
100000,1995,129136,Ford,Diesel,Manual,2.5,2
100000,1999,88480,Audi,Petrol,Automatic,1.4,1
827750,2022,108005,Ford,Petrol,Automatic,2.5,3
1233261,2023,73557,Audi,Diesel,Manual,2.2,5
100000,2010,217064,Hyundai,Hybrid,Manual,2.5,1
206395,2013,71654,Kia,Petrol,Automatic,2.5,3
100000,1998,117053,Honda,Hybrid,Automatic,1.6,3
100000,1997,63128,Audi,Petrol,Manual,1.4,1
151685,2011,73955,Ford,Diesel,Automatic,1.4,2
155085,2011,138993,Volkswagen,Petrol,Automatic,1.6,1
100000,2006,118442,BMW,Diesel,Automatic,1.6,3
834285,2022,71651,Mercedes,Hybrid,Manual,1.6,2
909433,2023,138579,Nissan,Petrol,Manual,1.8,1
100000,2008,62398,Audi,Petrol,Manual,2.0,4
352381,2015,36734,Hyundai,Diesel,Automatic,3.0,1
100000,2000,90373,Honda,Petrol,Manual,2.0,2
100000,1997,239599,BMW,Petrol,Manual,2.0,1
1082412,2022,58767,BMW,Petrol,Manual,2.5,2
100000,2003,82282,Audi,Diesel,Manual,1.8,3
100000,1999,75179,BMW,Petrol,Automatic,1.6,4
637204,2018,15052,Mercedes,Petrol,Manual,2.0,1
1006067,2023,64064,Mercedes,Petrol,Automatic,1.8,1
100000,2011,112712,Hyundai,Petrol,Automatic,1.8,1
132854,2008,27661,BMW,Diesel,Manual,1.6,1
238434,2015,110272,Audi,Petrol,Automatic,1.4,3
100000,1997,51266,Volkswagen,Diesel,Manual,1.8,1
749240,2022,179559,Hyundai,Petrol,Manual,2.2,1
100000,1995,225309,Kia,Petrol,Manual,1.8,1
267220,2014,100621,Nissan,Diesel,Manual,1.4,2
985831,2023,90712,Hyundai,Petrol,Automatic,1.4,4
322251,2015,34089,BMW,Diesel,Automatic,2.5,3
283090,2017,129623,BMW,Hybrid,Automatic,2.2,3
100000,1995,138820,Nissan,Petrol,Manual,2.0,1
100000,1997,44046,Mercedes,Petrol,Automatic,1.8,3
203590,2012,58181,Ford,Diesel,Manual,1.6,1
309585,2019,139615,Honda,Diesel,Automatic,2.5,2
100000,2004,123929,Honda,Diesel,Automatic,1.6,2
398684,2016,83822,Kia,Hybrid,Manual,2.2,1
691349,2020,104828,Hyundai,Petrol,Automatic,1.4,2
100000,1997,72570,Audi,Petrol,Automatic,2.0,4
100000,2002,34133,Kia,Petrol,Manual,1.8,4
100000,2008,80830,Mercedes,Petrol,Manual,3.0,1
471685,2018,114552,Nissan,Diesel,Manual,1.8,1
163399,2012,108981,Toyota,Petrol,Manual,3.0,2
100000,2009,245010,Hyundai,Petrol,Automatic,1.8,3
331142,2016,44167,Ford,Hybrid,Automatic,1.6,2
330695,2017,110586,Kia,Petrol,Automatic,2.0,4
100000,1996,113953,Toyota,Petrol,Manual,2.2,2
795144,2021,128412,Ford,Petrol,Manual,1.6,1
100000,2004,166647,Toyota,Petrol,Automatic,1.4,1
100000,1996,84957,Toyota,Petrol,Automatic,2.0,3
500172,2020,226787,Audi,Hybrid,Automatic,2.5,1
146477,2011,102727,BMW,Diesel,Automatic,1.4,1
100000,2002,149576,Nissan,Petrol,Automatic,1.8,3
100000,1995,28074,BMW,Petrol,Manual,2.5,1
100000,2003,129633,Mercedes,Diesel,Manual,3.0,3
